matching_idx,policy_area,subtopic_1,subtopic_2
377,"Civil Rights and Liberties, Minority Issues",Expanding Minority Civil Rights,Abortion Funding Restrictions
378,Public Lands and Natural Resources,Expanding Wilderness Protections,Wilderness Preservation
379,Public Lands and Natural Resources,Expanding Wilderness Protections,Public Lands Protections
380,Public Lands and Natural Resources,Expanding Wilderness Protections,Wilderness Protection
381,Public Lands and Natural Resources,Misc.,Misc.
382,Public Lands and Natural Resources,Expanding Wilderness Protections,Public Lands Protections
383,Public Lands and Natural Resources,Expanding Wilderness Protections,Wilderness Protections
384,Public Lands and Natural Resources,Expanding Wilderness Protections,Land Removal
385,Public Lands and Natural Resources,Expanding Wilderness Protections,Wildlife Conservation
386,Public Lands and Natural Resources,Expanding Wilderness Protections,Wilderness Protections
387,Public Lands and Natural Resources,Expanding Wilderness Protections,Wilderness Protection
388,Public Lands and Natural Resources,Expanding Wilderness Protections,Wilderness Protection
389,Public Lands and Natural Resources,Expanding Wilderness Protections,Public Lands Protection
390,Public Lands and Natural Resources,Increasing Wildfire Management Funding,Wildfire Management Regulations
391,Public Lands and Natural Resources,Misc.,Misc.
392,Public Lands and Natural Resources,Expanding Wilderness Protections,Wilderness Protection
393,Public Lands and Natural Resources,Expanding Wilderness Protections,Land Grab Legislation
394,Public Lands and Natural Resources,Expanding Wilderness Protections,Wildlife Conservation
395,Public Lands and Natural Resources,Expanding Wilderness Protections,Land Grab Legislation
396,Public Lands and Natural Resources,Expanding Wilderness Protections,Nuclear Power Development
397,Public Lands and Natural Resources,Expanding Wilderness Protections,Wilderness Protection
398,Public Lands and Natural Resources,Expanding Wilderness Protections,Uranium Mining Ban
399,Public Lands and Natural Resources,Expanding Wilderness Protections,Public Lands Policy
400,Public Lands and Natural Resources,Expanding Wilderness Protections,Public Lands Management
401,Public Lands and Natural Resources,Increasing Wildfire Management Funding,Wildfire Management Funding
402,Public Lands and Natural Resources,Increasing Wildfire Management Funding,Wildfire Management Funding
403,Public Lands and Natural Resources,Expanding Wilderness Protections,Land Grab Legislation
404,Public Lands and Natural Resources,Increasing Wildfire Management Funding,Wildfire Management Funding
405,Public Lands and Natural Resources,Expanding Wilderness Protections,Public Lands Management
406,Public Lands and Natural Resources,Increasing Wildfire Management Funding,Wildfire Management Funding
407,Public Lands and Natural Resources,Expanding Wilderness Protections,Wildlife Protection
408,Public Lands and Natural Resources,Expanding Wilderness Protections,Environmental Regulations
409,Public Lands and Natural Resources,Expanding Wilderness Protections,Environmental Conservation
410,Public Lands and Natural Resources,Expanding Wilderness Protections,Wildlife Protections
411,Taxation,Expanding Tax Incentives Accountability,Public Building Infrastructure Investment
412,Public Lands and Natural Resources,Expanding Wilderness Protections,Public Lands Protections
413,Public Lands and Natural Resources,Expanding Wilderness Protections,Wilderness Protection
414,Public Lands and Natural Resources,Expanding Wilderness Protections,Public Lands Conservation
415,Public Lands and Natural Resources,Expanding Commemorative Recognition,National Park Service Expansion
416,Public Lands and Natural Resources,Expanding Wilderness Protections,Cape Cod National Seashore Protection
417,Public Lands and Natural Resources,Expanding Wilderness Protections,Wildlife Protection
418,Public Lands and Natural Resources,Expanding Wilderness Protections,Wilderness Areas
419,Public Lands and Natural Resources,Increasing Wildfire Management Funding,Wildfire Funding
420,Public Lands and Natural Resources,Expanding Wilderness Protections,Wilderness Protections
421,Public Lands and Natural Resources,Expanding Wilderness Protections,Environmental Stewardship
422,Public Lands and Natural Resources,Expanding Wilderness Protections,Wilderness Protection
423,Public Lands and Natural Resources,Expanding Wilderness Protections,Environmental Justice Access
424,Public Lands and Natural Resources,Expanding Wilderness Protections,Wildlife Protection
425,Public Lands and Natural Resources,Expanding Wilderness Protections,Wilderness Protection
426,Public Lands and Natural Resources,Expanding National Heritage Protections,National Heritage Area Protections
427,Public Lands and Natural Resources,Expanding National Heritage Protections,National Heritage Area Expansion
428,Public Lands and Natural Resources,Expanding Wilderness Protections,Renewable Energy Production
429,Public Lands and Natural Resources,Expanding Wilderness Protections,Environmental Protection
430,Public Lands and Natural Resources,Expanding Wilderness Protections,Wildlife Protection
431,Public Lands and Natural Resources,Expanding Wilderness Protections,Clean Energy Production
432,Public Lands and Natural Resources,Expanding Wilderness Protections,Wilderness Protections
433,Public Lands and Natural Resources,Expanding Wilderness Protections,Wildlife Protections
434,Public Lands and Natural Resources,Expanding Wilderness Protections,Wilderness Protection
435,Public Lands and Natural Resources,Expanding Wilderness Protections,Wilderness Protections
436,Public Lands and Natural Resources,Expanding Wilderness Protections,Wilderness Management
437,Public Lands and Natural Resources,Expanding Wilderness Protections,Uranium Mining Ban
438,Public Lands and Natural Resources,Expanding Wilderness Protections,Uranium Mining Protections
439,Public Lands and Natural Resources,Expanding Wilderness Protections,Wilderness Designations
440,Public Lands and Natural Resources,Increasing Wildfire Management Funding,Wildfire Funding
441,Public Lands and Natural Resources,Expanding Wilderness Protections,Wildlife Protection
442,Public Lands and Natural Resources,Expanding Wilderness Protections,Wilderness Designations
443,Public Lands and Natural Resources,Expanding Wilderness Protections,Wildlife Protection
444,Public Lands and Natural Resources,Expanding Wilderness Protections,Wilderness Protection
445,Public Lands and Natural Resources,Expanding Wilderness Protections,Land Use Protections
446,Public Lands and Natural Resources,Expanding Wilderness Protections,Wildlife Protections
447,Public Lands and Natural Resources,Expanding Wilderness Protections,Wilderness Protections
448,Public Lands and Natural Resources,Expanding Wilderness Protections,Wilderness Protection
449,Public Lands and Natural Resources,Expanding Wilderness Protections,Environmental Protection
450,Public Lands and Natural Resources,Expanding Wilderness Protections,Uranium Mining Protections
451,Public Lands and Natural Resources,Expanding Wilderness Protections,Land Development Restrictions
452,Public Lands and Natural Resources,Expanding Wilderness Protections,Uranium Mining Regulation
453,Economics and Public Finance,Increasing Government Spending Accountability,Government Spending Accountability
454,Economics and Public Finance,Increasing Pandemic Relief Funding,Pandemic Relief Funding
455,Economics and Public Finance,Increasing Pandemic Relief Funding,Coronavirus Relief Funding
456,Economics and Public Finance,Increasing Pandemic Relief Funding,Pandemic Relief Funding
457,Economics and Public Finance,Increasing Pandemic Relief Funding,Pandemic Relief Funding
458,Economics and Public Finance,Increasing Pandemic Relief Funding,Coronavirus Relief
459,Economics and Public Finance,Misc.,Misc.
460,Economics and Public Finance,Increasing Pandemic Relief Funding,Pandemic Relief Funding
461,Economics and Public Finance,Increasing Pandemic Relief Funding,Pandemic Relief Funding
462,Economics and Public Finance,Increasing Government Spending Accountability,Bailout Accountability
463,Economics and Public Finance,Increasing Government Spending Accountability,Black Farmers' Support
464,Economics and Public Finance,Increasing Government Spending Accountability,Abortion Funding Mandates
465,Economics and Public Finance,Increasing Government Spending Accountability,Vaccine Access
466,Economics and Public Finance,Increasing Government Spending Accountability,Budget Reconciliation
467,Economics and Public Finance,Increasing Pandemic Relief Funding,Pandemic Relief Funding
468,Economics and Public Finance,Increasing Government Spending Accountability,Government Spending Accountability
469,Economics and Public Finance,Increasing Pandemic Relief Funding,Pandemic Relief Funding
470,Economics and Public Finance,Misc.,Misc.
471,Economics and Public Finance,Increasing Pandemic Relief Funding,COVID-19 Funding Opposition
472,Economics and Public Finance,Increasing Government Spending Accountability,Unemployment Relief
473,Economics and Public Finance,Increasing Government Spending Accountability,Child Slave Labor Funding
474,Economics and Public Finance,Increasing Government Spending Accountability,Support for Healthcare Reform
475,Economics and Public Finance,Increasing Pandemic Relief Funding,Vaccine Funding Accountability
476,Economics and Public Finance,Increasing Government Spending Accountability,Small Business Aid
477,Economics and Public Finance,Increasing Pandemic Relief Funding,Pandemic Relief Funding
478,Economics and Public Finance,Increasing Government Spending Accountability,Stimulus Funding
