policy_area,gpt_label,document_index,new_subtopic
Crime and Law Enforcement,Gun Control and Law Enforcement Reform,1400,Gun Control Legislation
Crime and Law Enforcement,Gun Control and Law Enforcement Reform,1401,Support for Law Enforcement
Crime and Law Enforcement,Gun Control and Law Enforcement Reform,1403,Support for Law Enforcement
Crime and Law Enforcement,Gun Control and Law Enforcement Reform,1402,Gun Control Reform
Crime and Law Enforcement,Gun Control and Law Enforcement Reform,1404,Police Accountability and Gun Control
Crime and Law Enforcement,Gun Control and Law Enforcement Reform,1405,Safer Communities for Communities
Crime and Law Enforcement,Gun Control and Law Enforcement Reform,1406,Gun Control Legislation
Crime and Law Enforcement,Gun Control and Law Enforcement Reform,1407,Law Enforcement Firearms Reform
Crime and Law Enforcement,Gun Control and Law Enforcement Reform,1408,Gun Control Reform
Crime and Law Enforcement,Gun Control and Law Enforcement Reform,1409,Law Enforcement Reform
Crime and Law Enforcement,Gun Control and Law Enforcement Reform,1410, Background Check Requirement for Law Enforcement
Crime and Law Enforcement,Gun Control and Law Enforcement Reform,1411,Law Enforcement Procedures
Crime and Law Enforcement,Gun Control and Law Enforcement Reform,1412,Law Enforcement Weapon Purchase
Crime and Law Enforcement,Gun Control and Law Enforcement Reform,1413,Taxpayer Subsidies for Gun Sales
Crime and Law Enforcement,Gun Control and Law Enforcement Reform,1414,Gun Control and Law Enforcement Reform
Crime and Law Enforcement,Gun Control and Law Enforcement Reform,1415,Gun Retirement and Taxpayer Reimbursement
Crime and Law Enforcement,Gun Control and Law Enforcement Reform,1416,Gun Control Reform
Crime and Law Enforcement,Gun Control and Law Enforcement Reform,1417,Federal Law Enforcement Weapon Purchase
Crime and Law Enforcement,Gun Control and Law Enforcement Reform,1418,Background Check Requirement for Gun Purchasers
Crime and Law Enforcement,Gun Control and Law Enforcement Reform,1419,Gun Control and Law Enforcement Reform
Crime and Law Enforcement,Gun Control and Law Enforcement Reform,1420,Gun Control and Law Enforcement Reform
Crime and Law Enforcement,Gun Control and Law Enforcement Reform,1421,Gun Control and Law Enforcement Reform
Crime and Law Enforcement,Gun Control and Law Enforcement Reform,1422,Gun Control and Law Enforcement Reform
Crime and Law Enforcement,Gun Control and Law Enforcement Reform,1423,Law Enforcement Reform
Crime and Law Enforcement,Gun Control and Law Enforcement Reform,1424,Law Enforcement Firearms Reform
Crime and Law Enforcement,Gun Control and Law Enforcement Reform,1425,Gun Control Amendments
Crime and Law Enforcement,Gun Control and Law Enforcement Reform,1426,Gun Control and Law Enforcement Reform
Crime and Law Enforcement,Gun Control and Law Enforcement Reform,1427,Gun Control Debate
Crime and Law Enforcement,Gun Control and Law Enforcement Reform,1428,Gun Control Reform
Crime and Law Enforcement,Gun Control and Law Enforcement Reform,1429,Gun Control Debate
Crime and Law Enforcement,Gun Control and Law Enforcement Reform,1430,Gun Control Reform
Crime and Law Enforcement,Gun Control and Law Enforcement Reform,1439,Clemency Authority in D.C.
Emergency Management,Disaster Recovery and Emergency Management Reform,121,Disaster Recovery Reform
Emergency Management,Disaster Recovery and Emergency Management Reform,361,Disaster Recovery Reform
Emergency Management,Disaster Recovery and Emergency Management Reform,122,Disaster Recovery Reform
Emergency Management,Disaster Recovery and Emergency Management Reform,123,Federal Disaster Assistance Reform
Emergency Management,Disaster Recovery and Emergency Management Reform,124,Disaster Recovery Reform
Emergency Management,Disaster Recovery and Emergency Management Reform,125,Disaster Recovery Reform
Emergency Management,Disaster Recovery and Emergency Management Reform,126,Disaster Recovery Reform
Emergency Management,Disaster Recovery and Emergency Management Reform,127,Post-Disaster Assistance Transparency
Emergency Management,Disaster Recovery and Emergency Management Reform,128,Disaster Recovery Transparency
Emergency Management,Disaster Recovery and Emergency Management Reform,129,Disaster Accountability Reform
Emergency Management,Disaster Recovery and Emergency Management Reform,130,Bipartisan Disaster Recovery Reform
Emergency Management,Disaster Recovery and Emergency Management Reform,131,Accountability in Disaster Recovery
Emergency Management,Disaster Recovery and Emergency Management Reform,363,Disaster Recovery Transparency
Emergency Management,Disaster Recovery and Emergency Management Reform,743,Firefighter Grants and Funding
Emergency Management,Disaster Recovery and Emergency Management Reform,1103,Firefighter Safety Legislation
Emergency Management,Disaster Recovery and Emergency Management Reform,1184,Support for Firefighters
Emergency Management,Disaster Recovery and Emergency Management Reform,1845,Support for First Responders
Emergency Management,Disaster Recovery and Emergency Management Reform,1846,Firefighter Access to Technology
Emergency Management,Disaster Recovery and Emergency Management Reform,2269,Bipartisan Emergency Management Reform
Emergency Management,Disaster Recovery and Emergency Management Reform,2276,Women in Disaster Response
Emergency Management,Disaster Recovery and Emergency Management Reform,2282,Disaster Recovery Reform
Emergency Management,Disaster Recovery and Emergency Management Reform,2283,Victim Support Office Opposition
Emergency Management,Disaster Recovery and Emergency Management Reform,2328,Disaster Recovery Reform
Emergency Management,Disaster Recovery and Emergency Management Reform,2381,Climate Literacy in DHS
Emergency Management,Disaster Recovery and Emergency Management Reform,2382,Climate Change Understanding in Emergency Management
Emergency Management,Disaster Recovery and Emergency Management Reform,2383,DHS Responsibility in Disaster Recovery
Emergency Management,Government Funding and Accountability Issues,1095,Nomination of Deputy Secretary of State
Emergency Management,Government Funding and Accountability Issues,1843,Homeland Security Funding Review
Emergency Management,Government Funding and Accountability Issues,1844,First Responder Access Legislation
Emergency Management,Government Funding and Accountability Issues,1334,Border Security Funding Issues
Emergency Management,Government Funding and Accountability Issues,2255,Border Security Funding
Emergency Management,Government Funding and Accountability Issues,2257,Border Security Funding
Emergency Management,Government Funding and Accountability Issues,2262,Border Security Funding
Emergency Management,Government Funding and Accountability Issues,2296,Border Security Funding
Emergency Management,Government Funding and Accountability Issues,2364,Border Security Funding Issues
Emergency Management,Government Funding and Accountability Issues,1307,Border Security Funding Cuts
Emergency Management,Government Funding and Accountability Issues,2260,Border Security Funding Issues
Emergency Management,Government Funding and Accountability Issues,2261,Government Funding Issues
Emergency Management,Government Funding and Accountability Issues,2701,Government Funding Issues
Emergency Management,Government Funding and Accountability Issues,2714,Government Funding Issues
Emergency Management,Government Funding and Accountability Issues,3193,Government Funding Issues
Emergency Management,Government Funding and Accountability Issues,2263,Government Funding Issues
Emergency Management,Government Funding and Accountability Issues,2789,Government Funding Issues
Emergency Management,Government Funding and Accountability Issues,2273,Government Funding Issues
Emergency Management,Government Funding and Accountability Issues,2277,Chemical Facility Security Funding
Emergency Management,Government Funding and Accountability Issues,2279,Nonprofit Security Funding Cuts
Emergency Management,Government Funding and Accountability Issues,2286,Government Funding Accountability
Emergency Management,Government Funding and Accountability Issues,2307,Border Patrol Funding Issues
Emergency Management,Government Funding and Accountability Issues,2377,Government Funding Issues
Emergency Management,Government Funding and Accountability Issues,1338,Border Security Funding Issues
Emergency Management,Government Funding and Accountability Issues,2310,Border Security Funding Issues
Emergency Management,Government Funding and Accountability Issues,2356,Government Funding Issues
Emergency Management,Government Funding and Accountability Issues,2406,Border Security Funding Issues
Emergency Management,Government Funding and Accountability Issues,2311,Funding Accountability Issues
